Start Time:  04-12-2024 16:58:53          Time Completed:  04-12-2024 17:48:36      Elapsed Time:  00:49:42
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\LB100_FP.txt
Plot File:     C:\IDEASVSM\LS_QC\LB100_FP.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\LB100_FP.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.00621293 	
 18000 	 0.0062639 	
 17000 	 0.00631519 	
 16000 	 0.00636527 	
 15000 	 0.00641408 	
 14000 	 0.00646112 	
 13000 	 0.00650778 	
 12000 	 0.00655424 	
 11000 	 0.00659825 	
 10000 	 0.00664076 	
 8999.99 	 0.00668323 	
 7999.98 	 0.00672181 	
 7000 	 0.0067593 	
 6000 	 0.00679318 	
 5000.01 	 0.00682422 	
 3999.98 	 0.0068267 	
 3000.17 	 0.00679994 	
 2000 	 0.00669568 	
 1000 	 0.00628902 	
 949.994 	 0.00624465 	
 900.006 	 0.00619533 	
 849.992 	 0.00614006 	
 799.997 	 0.00607756 	
 750.01 	 0.00600823 	
 700.005 	 0.00592775 	
 650.005 	 0.00583507 	
 599.992 	 0.00572854 	
 550.002 	 0.00560281 	
 500 	 0.00545576 	
 450.003 	 0.00527984 	
 399.998 	 0.00506527 	
 350.009 	 0.00479688 	
 299.993 	 0.00446718 	
 250.002 	 0.00405088 	
 199.995 	 0.00352718 	
 190 	 0.00340689 	
 180.002 	 0.00328082 	
 169.991 	 0.00314908 	
 159.999 	 0.0030114 	
 150.001 	 0.00286657 	
 140 	 0.00271614 	
 129.994 	 0.0025587 	
 119.997 	 0.00239483 	
 110 	 0.00222379 	
 100 	 0.00204724 	
 90.0009 	 0.00186221 	
 80.0022 	 0.0016707 	
 69.9977 	 0.00147382 	
 59.9873 	 0.00127099 	
 49.9944 	 0.0010618 	
 39.9948 	 0.000850752 	
 30.0004 	 0.000637145 	
 20.0068 	 0.000424876 	
 18.0045 	 0.00038247 	
 16.0068 	 0.000340274 	
 13.9956 	 0.000297683 	
 11.9936 	 0.000256048 	
 9.99667 	 0.000213178 	
 7.98904 	 0.000171513 	
 5.99656 	 0.000128667 	
 3.99681 	 0.0000872501 	
 1.99937 	 0.000044371 	
-0.00922408 	 0.00000165162 	
-1.93034 	-0.0000389805 	
-4.00055 	-0.000082127 	
-6.00212 	-0.000123278 	
-7.9934 	-0.000165285 	
-10.0055 	-0.000206998 	
-12.0054 	-0.000249378 	
-13.9966 	-0.000290833 	
-16.0044 	-0.000332037 	
-17.9927 	-0.000374088 	
-20.001 	-0.000416322 	
-29.9991 	-0.000626877 	
-40.0001 	-0.000838069 	
-50.0107 	-0.00104802 	
-60.0013 	-0.00125603 	
-69.9917 	-0.00145886 	
-79.9979 	-0.00165657 	
-90.0076 	-0.00184783 	
-99.9919 	-0.00203188 	
-110.012 	-0.00221047 	
-119.988 	-0.00238116 	
-130.003 	-0.00254513 	
-139.994 	-0.00270293 	
-150.004 	-0.00285415 	
-159.996 	-0.00299901 	
-170.006 	-0.00313752 	
-179.999 	-0.00327002 	
-190 	-0.00339659 	
-199.994 	-0.0035169 	
-250.002 	-0.00404427 	
-299.993 	-0.00445952 	
-350.004 	-0.00479301 	
-400.006 	-0.00505513 	
-450.003 	-0.0052725 	
-500.006 	-0.00545117 	
-550.009 	-0.00559974 	
-600.004 	-0.00572646 	
-650.005 	-0.00583397 	
-699.999 	-0.00592674 	
-750.012 	-0.00600818 	
-800.009 	-0.00607935 	
-850.014 	-0.00614137 	
-900.004 	-0.00619631 	
-950.001 	-0.00624661 	
-999.994 	-0.00629095 	
-2000.01 	-0.00669779 	
-3000.02 	-0.00680216 	
-4000.01 	-0.00682874 	
-5000.01 	-0.00682559 	
-6000.03 	-0.00679286 	
-7000.03 	-0.00675772 	
-8000 	-0.00672068 	
-9000 	-0.006681 	
-9999.98 	-0.0066391 	
-11000 	-0.00659606 	
-12000 	-0.00655081 	
-13000 	-0.00650566 	
-14000 	-0.00645921 	
-15000 	-0.00641217 	
-16000 	-0.00636474 	
-17000 	-0.00631735 	
-18000 	-0.00626986 	
-19000 	-0.00622065 	
-18000 	-0.0062727 	
-17000 	-0.00632307 	
-16000 	-0.006373 	
-15000 	-0.00642092 	
-14000 	-0.0064684 	
-13000 	-0.00651427 	
-12000 	-0.00656007 	
-11000 	-0.00660395 	
-10000 	-0.00664708 	
-8999.99 	-0.00668748 	
-7999.99 	-0.00672677 	
-7000.01 	-0.00675417 	
-6000.01 	-0.00674871 	
-4999.99 	-0.00677962 	
-3999.98 	-0.00678267 	
-2999.96 	-0.00675482 	
-2000 	-0.00665169 	
-999.996 	-0.00624846 	
-950.001 	-0.00620428 	
-899.993 	-0.0061541 	
-849.993 	-0.00609929 	
-799.992 	-0.00603701 	
-750.01 	-0.00596687 	
-700.001 	-0.00588653 	
-649.999 	-0.00579481 	
-599.991 	-0.0056899 	
-550 	-0.00556545 	
-500 	-0.00541787 	
-450.005 	-0.00524233 	
-399.992 	-0.00502896 	
-349.983 	-0.00477092 	
-300.003 	-0.00444699 	
-249.993 	-0.00403528 	
-200.008 	-0.00351749 	
-189.995 	-0.00339837 	
-180.003 	-0.00327346 	
-169.994 	-0.00314206 	
-160.004 	-0.0030059 	
-149.991 	-0.00286194 	
-140.003 	-0.00271229 	
-130.007 	-0.00255479 	
-120.006 	-0.00239196 	
-109.996 	-0.00222164 	
-100.002 	-0.00204381 	
-90.0017 	-0.00185891 	
-80.0021 	-0.00166792 	
-70.004 	-0.00146953 	
-59.9981 	-0.00126541 	
-50.0014 	-0.00105666 	
-40.0083 	-0.000843861 	
